client1,client2,value1,time
361252475761852426,854422981858426938,6.6,2023-06-12 23:28:24.988704-04:00
777295376599351307,753544412264398890,6.6,2023-06-12 23:35:10.120058-04:00
952388162150367322,753544412264398890,6.6,2023-06-12 23:52:07.152282-04:00
952388162150367322,657627973754552401,6.6,2023-06-12 23:52:07.160596-04:00
952388162150367322,629219672709005313,6.6,2023-06-12 23:52:07.169694-04:00
952388162150367322,333122573531611136,6.6,2023-06-12 23:52:07.174353-04:00
777295376599351307,630543219461193738,13.2,2023-06-13 00:48:22.597568-04:00
341997113393283093,633943413800042516,6.6,2023-06-13 00:26:24.988191-04:00
456034249204826124,287855343034302465,37.5,2023-06-13 00:46:25.010002-04:00
456034249204826124,952388162150367322,37.5,2023-06-13 00:46:25.017086-04:00
456034249204826124,1086743795250503710,37.5,2023-06-13 00:46:25.024057-04:00
456034249204826124,998814179874058240,112.5,2023-06-13 00:48:12.188317-04:00
456034249204826124,637754336201408532,269.1,2023-06-16 11:10:46.015873-04:00
456034249204826124,1054616756305543178,150.0,2023-06-17 09:12:53.381969-04:00
357665910498000898,902763922313056267,6.6,2023-06-13 00:52:05.804656-04:00
578734791692648458,664539711188107268,6.6,2023-06-13 00:56:38.354645-04:00
578734791692648458,987086954749390961,6.6,2023-06-13 00:56:38.360344-04:00
578734791692648458,697803212832374854,6.6,2023-06-13 00:56:38.366565-04:00
578734791692648458,1072491770149085214,16.5,2023-06-19 02:10:52.525508-04:00
578734791692648458,1049545352363118602,16.5,2023-06-19 02:10:52.498596-04:00
625187840837287937,357665910498000898,166.5,2023-06-22 21:39:21.863459-04:00
625187840837287937,804751562320379924,269.1,2023-06-20 14:02:21.015017-04:00
388176255167496200,357665910498000898,6.6,2023-06-13 01:15:59.663687-04:00
388176255167496200,737413108775256135,6.6,2023-06-13 01:15:59.668819-04:00
341997113393283093,265725663196086284,6.6,2023-06-13 01:22:59.490092-04:00
952388162150367322,838977217987739660,6.6,2023-06-13 01:32:33.889827-04:00
952388162150367322,975434343264686080,6.6,2023-06-13 01:32:33.896914-04:00
952388162150367322,874928369379201034,13.2,2023-06-16 15:02:20.017869-04:00
1,1,4295.0,2023-06-22 14:00:33.407536-04:00
618198844701671425,515316359337345027,6.6,2023-06-13 02:05:17.059106-04:00
978243316372103188,534099262292623381,6.6,2023-06-13 02:46:43.353778-04:00
799885323982340146,576962723540369454,72.6,2023-06-16 04:02:58.310799-04:00
223964665162629121,637754336201408532,6.6,2023-06-13 03:45:16.050644-04:00
625187840837287937,770349494784098354,210.0,2023-06-13 04:25:39.078342-04:00
892563469004574720,892563469004574720,6.6,2023-06-13 05:07:19.681589-04:00
892563469004574720,745075877418631339,6.6,2023-06-13 05:07:19.687035-04:00
